num,title,description,duration,est_minutes,max_points,pillars,scoring,day,notes
1,Deploy a COLOS Printer in your Cold Brew Coffee OT 4.0 Network,"Setup the network configuring NICs, IP addressing scheme, routing, gateways, protocols. Configure switches, install network cables. Get the COLOS printer talking to the rest of the cold brew coffee system.",4hrs,240.0,40,SDL AGL ICA CSL,TBD,Tuesday,
2,Troubleshoot Your Way To Communicating in your Cold Brew Coffee Network,"Trainers break the network; the team recovers functionality using common tools: ping, trace route, print route, ARP tables, network logging, etc.",4hrs,240.0,40,ICA CSL,10 pts per network problem solved,Wednesday,
3,Master Common Sensor Troubleshooting on Your Cold Brew Coffee Packing Equip,"Check every sensor on the can packing equipment for correct functionality. Overcome misconfiguration, calibration, I/O module, wiring, analog scaling, and PLC logic issues.",2hrs,120.0,20,ICA,5 pts per sensor problem solved,,
4,Deploy IO Link and Smart Sensors for Your Cold Brew Coffee System,Improve the CBC can packing system by deploying IO Link sensors for enriched data from your OT system.,2hrs,120.0,20,ICA,All or nothing - all IO Link configuration and functionality must be complete,,
5,Improve Your Cold Brew Coffee Mixer Digital Twin with NEW Functionality,Add a new control module to your automation code to add functionality to the CBC mixing system. Deeper experience with the software and digital twins enabling the CBC mixer.,4hrs,240.0,40,ICA,"10 pts for CM, 20 pts for PLC Code, 10 pts for Simulation",,
6,Successfully Navigate a GIA Audit,Navigate a GIA audit with the GIA Whisperer. Extract proper data and documentation to provide evidence on the compliance of your digital systems.,0.5-1hr,45.0,10,SDL AGL ICA CSL,Scoring via Rubric,,
7,Role of a Cybersecurity Leader - Escape Room,8 puzzles with a meta-puzzle focused on the role of a cybersecurity leader.,1hr,60.0,10,SDL AGL ICA CSL,All or nothing - solve final puzzle,,
8,Beat the AI - Databricks Queries,Work with an AI agent to build data queries against the Core Data Lake using Databricks and SQL. Find the errors in the AI output to reach the proper data set.,2hrs,120.0,20,SDL AGL ICA CSL,All or nothing - capture the flag,,
9,Unlock Your Web Server By Properly Implementing SSL Certificates,Work through using SSL certificates to secure web server communication and resolve a 403 error to extract critical CBC performance data.,2hrs,120.0,20,ICA CSL,All or nothing - web server is fully functional,,
10,Master Communication of Digital Topics to Leadership,"Pick an incident, project, or audit and prepare a presentation to your PM. Unlock SPARK points by effectively and efficiently communicating your plan.",30mins,30.0,10,SDL AGL ICA CSL,Scoring via Rubric,,
11,Mapping and Matching Escape Room,Partake in a mapping and matching session and unlock the proper documentation needed for a clear configuration path of your enterprise systems.,2hrs,120.0,10,SDL AGL ICA CSL,Scoring via Rubric,,
12,Reduce Touches and Make Your Initiative SMART (Value Stream Mapping),Map out all touchpoints to discover where digital solutions can streamline operations. Link points to enterprise solutions to reduce manual effort.,2hrs,120.0,20,SDL AGL ICA CSL,"5 pts per touch elimination, 10 extra points for max",,
13,Build an Automation Trace and Trend to Understand Your Equipment,"Build an automation trace/trend with both Siemens and Rockwell. Setup, configure, and analyze to complete the escape room.",1hr,60.0,10,SDL AGL ICA CSL,All or nothing - fully functional trend with all details,,
14,Use Python to Successfully Clean Your Data (No AI),"Use Python to ingest raw data, clean and standardize it, then transform and engineer it into a useful format for analysis.",2hrs,120.0,20,SDL AGL ICA CSL,All or nothing - file comparison to grade output,,
15,Flow Data through your Enterprise to the Core Data Lake using MDF Edge,Use E2C services to get data flowing from OT to the Core Data Lake.,1hr,60.0,,SDL AGL ICA CSL,TBD,,
16,Mini Net - Python Simulated Network Analysis Using PyShark,Leverage a simulated network in Python and PyShark to analyze network traffic in a capture-the-flag scenario.,1-2hrs,90.0,,ICA CSL,TBD,,
17,Patching Escape Room,Work through troubleshooting and patch deployment strategies to efficiently bring your system up to compliance.,1-2hrs,90.0,,ICA,TBD,,
18,Firewall Log Analysis Capture the Flag,"Get hands on with OneBox, collecting information about your site's firewall in a capture-the-flag exercise.",1hr,60.0,,ICA CSL,TBD,,
19,Leverage AI to Penetrate and Understand Black Box PLC Code,Leverage Nexus AI to troubleshoot the CBC Mixer code with AI assistance for faster recovery.,1-2hrs,90.0,,SDL AGL ICA CSL,TBD,,
20,Beat the AI - Cyber Awareness Campaign,Prepare a cyber awareness campaign graded by an AI agent. Beat the agent to score points.,2hrs,120.0,,SDL CSL,TBD,,
21,Digital Jeopardy (or Family Feud),"Jeopardy questions focused on roles and digital skills, sprinkled throughout PERFORM week for EXTRA points.",30mins,30.0,,SDL AGL ICA CSL,TBD,,
22,90 Day Digital Continuity Plan,"Given a CBC site application inventory, create a 90 day plan to bring the entire portfolio to compliance - get to GREEN.",1hr,60.0,,SDL AGL,TBD,,
23,Define an Application Escape Room,"Navigate an escape room by properly classifying applications as systems, components, applications, etc.",1hr,60.0,,AGL,TBD,,
24,Your Site is DOWN - Leverage Disaster Recovery to Get Back Up and Running,Properly back up and demonstrate recovery of your CBC digital systems.,1hr,60.0,,SDL AGL ICA CSL,TBD,,
25,OCAI Tabletop Exercise - SQL Queries,OCAI tabletop exercise leveraging SQL queries (description to be finalized).,TBD,,,SDL AGL ICA CSL,TBD,,
26,Application Governance Jeopardy,Work through a Jeopardy game with categories arranged by varying AGL related topics.,1hr,60.0,,AGL,TBD,,
27,Kahoot/Slido - AGL,Take Kahoot/Slido quizzes on application governance and have a live discussion with your TISL about the results.,1hr,60.0,,AGL,TBD,,
28,Application Pen Testing,Execute pen testing on your Cold Brew Coffee application.,1hr,60.0,,AGL,TBD,,
29,Aravo/iRisk Capture the Flag (TPRM),"Navigate Aravo and iRisk via search, capturing information about your task to reach the final conclusion and solve the challenge.",1hr,60.0,,AGL,TBD,,
